,Category,lat,lon,Part of month,Observation Date,Impacted Area (ha),Country,Location Name,Data updated on,Soil_Moisture
1,Swarm,31.666666667000072,44.60000000000008,Early,2020-04-01,45.0,Iraq,Al Najaf,Tue Feb  1 16:04:44 2022,0.07699999958276749
2,Band,11.2288888888889,42.7983333333333,Middle,2021-06-18,3.0,Djibouti,Ali Sabieh,Tue Feb  1 16:04:44 2022,0.008999999612569809
18,Band,24.56638888900005,55.76444444400005,Early,2020-05-08,6.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.017999999225139618
19,Swarm,2.71666666666667,34.7,Early,2020-06-30,760.0,Uganda,Naput,Tue Feb  1 16:04:44 2022,0.0729999989271164
21,Band,24.32583333300005,51.60805555600007,Middle,2020-05-11,1.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0
26,Band,24.016111111000043,55.62138888900006,Early,2020-05-06,20.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.004000000189989805
30,Swarm,30.28333333300003,46.900000000000034,Middle,2020-02-20,21.0,Iraq,Allhayes,Tue Feb  1 16:04:44 2022,0.08100000023841858
32,Swarm,5.333333333000041,34.700000000000045,Middle,2020-05-13,100.0,South Sudan,Napeibur village,Tue Feb  1 16:04:44 2022,0.1889999955892563
39,Swarm,30.83333333300004,35.61666666700006,Early,2019-05-05,380.0,Jordan,Tafilah,Tue Feb  1 16:04:44 2022,0.03200000151991844
42,Band,24.354444444000023,51.60250000000008,Middle,2020-04-18,61.0,United Arab Emirates,Ras Ghumies,Tue Feb  1 16:04:44 2022,0.0
45,Band,24.29444444400008,51.61666666700006,Early,2020-05-06,3.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0
52,Band,23.89833333300004,55.48111111100008,Early,2020-05-03,8.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0
54,Band,23.662500000000023,55.57083333300005,Early,2020-05-04,3.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0
58,Swarm,30.60000000000008,46.80000000000007,Middle,2020-02-20,21.0,Iraq,Umm Anij,Tue Feb  1 16:04:44 2022,0.12800000607967377
69,Band,24.52250000000004,55.76277777800004,Early,2020-05-05,57.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.02500000037252903
77,Swarm,32.6166666666667,36.3333333333333,Late,2021-04-24,100.0,Syrian Arab Republic,Al Musayfrah,Tue Feb  1 16:04:44 2022,0.24899999797344208
79,Band,11.2638888888889,42.7488888888889,Middle,2021-06-15,5.0,Djibouti,Ali Sabieh,Tue Feb  1 16:04:44 2022,0.004000000189989805
89,Band,24.016111111000043,55.62111111100006,Middle,2020-04-19,20.0,United Arab Emirates,Al Arad,Tue Feb  1 16:04:44 2022,0.0
99,Band,23.52000000000004,55.48833333300007,Late,2020-04-22,300.0,United Arab Emirates,Al Qoua,Tue Feb  1 16:04:44 2022,0.0010000000474974513
103,Swarm,-3.08916666666667,36.6516666666667,Late,2021-02-26,200.0,United Republic of Tanzania,Arusha Region Ormrin,Tue Feb  1 16:04:44 2022,0.18400000035762787
108,Band,24.751111111000057,55.82694444400005,Early,2020-05-02,4.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.020999999716877937
115,Band,23.65805555600008,55.57027777800005,Early,2020-05-09,8.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.013000000268220901
119,Swarm,11.3647222222222,42.6730555555556,Middle,2021-05-17,100.0,Djibouti,Arta,Tue Feb  1 16:04:44 2022,0.008999999612569809
