Category,lat,lon,Part of month,Observation Date,Impacted Area (ha),Country,Location Name,Data updated on
ControlREV,11.3391666666667,42.7686111111111,Middle,2021-06-15,1.0,Djibouti,Arta,Tue Feb  1 16:04:44 2022
Swarm,31.666666667000072,44.60000000000008,Early,2020-04-01,45.0,Iraq,Al Najaf,Tue Feb  1 16:04:44 2022
Band,11.2288888888889,42.7983333333333,Middle,2021-06-18,3.0,Djibouti,Ali Sabieh,Tue Feb  1 16:04:44 2022
Adult,17.0466666666667,20.9477777777778,Middle,2020-10-14,20.0,Chad,SALLAH 6,Tue Feb  1 16:04:44 2022
Adult,13.7936111111111,19.1766666666667,Late,2020-10-21,20.0,Chad,Kachako,Tue Feb  1 16:04:44 2022
Adult,14.2175,16.8638888888889,Early,2020-08-09,20.0,Costa Rica,Kouchne,Tue Feb  1 16:04:44 2022
Adult,30.9330555555556,-3.92527777777778,Late,2021-03-23,80.0,Morocco,oued el biaa 5ind,Tue Feb  1 16:04:44 2022
Adult,14.5394444444444,14.8230555555556,Middle,2020-09-15,70.0,Costa Rica,Noukou 2,Tue Feb  1 16:04:44 2022
Adult,26.08333333300004,9.850000000000025,Early,2020-02-02,100.0,Libya,Wadi Tesigiran,Tue Feb  1 16:04:44 2022
Adult,14.8180555555556,15.9783333333333,Late,2020-11-21,80.0,Chad,Kanem,Tue Feb  1 16:04:44 2022
ControlREV,23.662500000000023,55.57083333300005,Early,2020-05-04,3.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
ControlREV,24.154444444000035,55.70083333300005,Early,2020-05-05,43.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Adult,27.38333333333,84.35,,2020-06-28,,Nepal,,Tue Feb  1 16:04:44 2022
Adult,29.8758333333333,-7.28666666666667,Late,2021-03-29,60.0,Morocco,Oued lmalh 2 ind,Tue Feb  1 16:04:44 2022
Adult,16.6125,21.2358333333333,Late,2021-10-26,20.0,Chad,Chili,Tue Feb  1 16:04:44 2022
Adult,23.58444444400004,55.52916666700003,Early,2020-05-04,10.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Adult,17.1141666666667,21.5130555555556,Early,2020-09-30,7.0,Costa Rica,EUGUEMECHINA 3,Tue Feb  1 16:04:44 2022
Adult,13.9030555555556,14.6844444444444,Early,2020-10-31,90.0,Chad,Dabou Ouest,Tue Feb  1 16:04:44 2022
Band,24.56638888900005,55.76444444400005,Early,2020-05-08,6.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Swarm,2.71666666666667,34.7,Early,2020-06-30,760.0,Uganda,Naput,Tue Feb  1 16:04:44 2022
Adult,27.6,82.83333333333,,2020-06-27,,Nepal,,Tue Feb  1 16:04:44 2022
Band,24.32583333300005,51.60805555600007,Middle,2020-05-11,1.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Adult,35.2883333333333,40.3088888888889,Middle,2021-04-16,400.0,Syrian Arab Republic,Dir El Zor Governora,Tue Feb  1 16:04:44 2022
Adult,24.04583333300008,55.693333333000055,Early,2020-05-10,12.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Adult,17.0033333333333,20.6791666666667,Middle,2020-10-15,40.0,Chad,SS SSS,Tue Feb  1 16:04:44 2022
ControlREV,23.475555556000074,55.45944444400004,Early,2020-05-06,16.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Band,24.016111111000043,55.62138888900006,Early,2020-05-06,20.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
ControlREV,11.2291666666667,42.8083333333333,Early,2021-06-03,0.7,Djibouti,Ali Sabieh,Tue Feb  1 16:04:44 2022
Adult,28.5091666666667,-9.25611111111111,Early,2021-02-01,80.0,Morocco,Lkhnaygue lkhale  01,Tue Feb  1 16:04:44 2022
Adult,4.666666667000072,32.933333333000064,Early,2020-05-08,2.0,South Sudan,Nivasha,Tue Feb  1 16:04:44 2022
Swarm,30.28333333300003,46.900000000000034,Middle,2020-02-20,21.0,Iraq,Allhayes,Tue Feb  1 16:04:44 2022
Adult,15.9494444444444,21.0213888888889,Early,2020-11-09,30.0,Chad,Grenier,Tue Feb  1 16:04:44 2022
Swarm,5.333333333000041,34.700000000000045,Middle,2020-05-13,100.0,South Sudan,Napeibur village,Tue Feb  1 16:04:44 2022
Adult,17.5730555555556,5.9025,Early,2021-12-09,50.0,Niger,in ontololog,Tue Feb  1 16:04:44 2022
Adult,15.2930555555556,19.4147222222222,Middle,2020-11-18,40.0,Chad,wadi Kelip,Tue Feb  1 16:04:44 2022
Adult,15.1033333333333,15.8394444444444,Middle,2020-11-17,30.0,Chad,Kanem,Tue Feb  1 16:04:44 2022
Adult,17.27,21.43,Late,2020-11-20,10.0,Chad,ADENILA 3R,Tue Feb  1 16:04:44 2022
Adult,15.8547222222222,15.0569444444444,Middle,2020-09-17,1200.0,Costa Rica,Birfo,Tue Feb  1 16:04:44 2022
Adult,12.0216666666667,43.3283333333333,Late,2020-09-29,300.0,Djibouti,Obock,Tue Feb  1 16:04:44 2022
Swarm,30.83333333300004,35.61666666700006,Early,2019-05-05,380.0,Jordan,Tafilah,Tue Feb  1 16:04:44 2022
Adult,27.01666666667,85.85,,2020-06-27,,Nepal,,Tue Feb  1 16:04:44 2022
Adult,16.1872222222222,22.5566666666667,Late,2020-09-25,10.0,Costa Rica,KAOURA 3,Tue Feb  1 16:04:44 2022
Band,24.354444444000023,51.60250000000008,Middle,2020-04-18,61.0,United Arab Emirates,Ras Ghumies,Tue Feb  1 16:04:44 2022
Adult,16.0183333333333,21.0272222222222,Late,2020-11-28,20.0,Chad,SN,Tue Feb  1 16:04:44 2022
Adult,11.11666666700006,42.88333333300005,Early,2019-12-01,140.0,Djibouti,Ali-addeh,Tue Feb  1 16:04:44 2022
Band,24.29444444400008,51.61666666700006,Early,2020-05-06,3.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Adult,24.70555555600004,55.71305555600003,Middle,2020-05-13,2.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Adult,23.96444444400004,55.52000000000004,Early,2020-05-05,17.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Adult,27.61666666667,85.05,,2020-06-29,,Nepal,,Tue Feb  1 16:04:44 2022
Adult,28.01666666667,82.45,,2020-06-29,,Nepal,,Tue Feb  1 16:04:44 2022
Adult,31.845,-3.89,Early,2021-07-01,30.0,Morocco,Domaine Dribach,Tue Feb  1 16:04:44 2022
Adult,14.8055555555556,17.5161111111111,Early,2021-10-03,20.0,Chad,HOUDJEINGA,Tue Feb  1 16:04:44 2022
Band,23.89833333300004,55.48111111100008,Early,2020-05-03,8.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Adult,33.50000000000006,44.55000000000007,Middle,2020-04-20,80.0,Iraq,Al Anbar,Tue Feb  1 16:04:44 2022
Band,23.662500000000023,55.57083333300005,Early,2020-05-04,3.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Adult,17.015,21.7333333333333,Middle,2020-11-13,50.0,Chad,ERRIIKO,Tue Feb  1 16:04:44 2022
ControlREV,23.89805555600003,55.50555555600005,Early,2020-05-07,18.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Adult,26.150000000000038,9.516666667000038,Early,2020-03-08,100.0,Libya,Wadi Ten Nhbelal,Tue Feb  1 16:04:44 2022
Swarm,30.60000000000008,46.80000000000007,Middle,2020-02-20,21.0,Iraq,Umm Anij,Tue Feb  1 16:04:44 2022
Adult,23.89527777800004,55.40805555600008,Early,2020-05-09,5.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
ControlREV,11.3216666666667,42.7569444444444,Early,2021-06-30,3.0,Djibouti,Arta,Tue Feb  1 16:04:44 2022
Adult,24.11777777800006,55.67972222200007,Early,2020-05-07,36.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Adult,16.1530555555556,22.5727777777778,Late,2020-11-26,50.0,Chad,KAOURA 1,Tue Feb  1 16:04:44 2022
Adult,14.9277777777778,18.1658333333333,Middle,2020-08-16,10.0,Costa Rica,SN,Tue Feb  1 16:04:44 2022
Adult,24.091111111000032,55.92416666700007,Early,2020-05-06,3.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Adult,15.2497222222222,18.2497222222222,Middle,2020-10-15,20.0,Chad,Bir Bana,Tue Feb  1 16:04:44 2022
ControlREV,24.07111111100005,55.94388888900005,Early,2020-05-06,92.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Hopper,25.87027777800006,10.022500000000036,Middle,2019-07-18,100.0,Libya,Wadi Badhoul,Tue Feb  1 16:04:44 2022
Hopper,13.5775,18.7372222222222,Late,2020-08-20,20.0,Costa Rica,SN,Tue Feb  1 16:04:44 2022
Band,24.52250000000004,55.76277777800004,Early,2020-05-05,57.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Adult,14.5461111111111,15.7666666666667,Middle,2021-10-15,10.0,Chad,KANNE 1,Tue Feb  1 16:04:44 2022
Adult,14.5091666666667,15.0788888888889,Middle,2020-11-11,70.0,Chad,Kanem,Tue Feb  1 16:04:44 2022
Hopper,4.650000000000034,32.900000000000034,Early,2020-05-10,1.0,South Sudan,Yodo,Tue Feb  1 16:04:44 2022
Adult,15.8497222222222,19.6686111111111,Late,2020-09-20,800.0,Costa Rica,Borkou,Tue Feb  1 16:04:44 2022
Adult,23.90277777800003,55.49972222200006,Early,2020-05-01,24.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Adult,11.3616666666667,42.6925,Middle,2021-05-16,100.0,Djibouti,Petit Barra,Tue Feb  1 16:04:44 2022
Adult,31.8388888888889,-3.695,Early,2021-07-03,20.0,Morocco,Asmmar,Tue Feb  1 16:04:44 2022
Swarm,32.6166666666667,36.3333333333333,Late,2021-04-24,100.0,Syrian Arab Republic,Al Musayfrah,Tue Feb  1 16:04:44 2022
Adult,25.45416666700004,55.77972222200003,Middle,2020-05-12,2.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Band,11.2638888888889,42.7488888888889,Middle,2021-06-15,5.0,Djibouti,Ali Sabieh,Tue Feb  1 16:04:44 2022
ControlREV,24.56722222200005,55.761388889000045,Early,2020-05-09,21.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Adult,29.1397222222222,-8.03111111111111,Middle,2020-11-14,20.0,Morocco,oued el aeribiya 8in,Tue Feb  1 16:04:44 2022
Adult,14.9127777777778,18.1936111111111,Middle,2020-08-15,20.0,Costa Rica,Djouda,Tue Feb  1 16:04:44 2022
ControlREV,24.02666666700003,51.78583333300003,Early,2020-03-05,2.0,United Arab Emirates,Al Sila,Tue Feb  1 16:04:44 2022
Adult,24.788333333000026,55.82361111100005,Early,2020-05-10,8.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
ControlREV,24.08250000000004,55.37666666700005,Early,2020-05-04,6.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Adult,14.1038888888889,15.2408333333333,Early,2020-11-05,70.0,Chad,Kanem,Tue Feb  1 16:04:44 2022
Adult,23.683333333000064,55.56972222200005,Early,2020-05-07,26.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022
Adult,15.9658333333333,21.0075,Middle,2020-09-10,8.0,Costa Rica,IZIBOUKA,Tue Feb  1 16:04:44 2022
